airfoil,pareto_rank,pareto_front,reynolds,best_ld,best_ld_alpha_deg,cl_objective,cl_max,cd_min
UIUC NACA0024,4,False,2000000.0,20.249046956681298,12.0,0.22839104642182484,0.2680043906477152,0.013235407632816294
UIUC NACA4421,5,False,100000.0,11.123736105573624,12.0,0.21393626969944976,0.24484633146226448,0.02201115966240718
UIUC NACA4421,5,False,250000.0,13.553655552122708,12.0,0.21393626969944976,0.24484633146226448,0.01806496634953349
UIUC NACA4421,5,False,500000.0,15.59059549260172,12.0,0.21393626969944976,0.24484633146226448,0.015704745311264895
UIUC NACA4421,5,False,1000000.0,17.80484888799078,12.0,0.21393626969944976,0.24484633146226448,0.013751665796355693
UIUC NACA4421,5,False,2000000.0,20.201790244936102,12.0,0.21393626969944976,0.24484633146226448,0.012120031368192187
UIUC NACA2421,6,False,100000.0,10.840843776311429,12.0,0.20606943154484908,0.23842277399083495,0.021993008930893173
UIUC NACA2421,6,False,250000.0,13.20896693736527,12.0,0.20606943154484908,0.23842277399083495,0.018050069708054853
UIUC NACA2421,6,False,500000.0,15.194104616548229,12.0,0.20606943154484908,0.23842277399083495,0.01569179494336004
UIUC NACA2421,6,False,1000000.0,17.352046418902958,12.0,0.20606943154484908,0.23842277399083495,0.01374032596703419
UIUC NACA2421,6,False,2000000.0,19.688030169776397,12.0,0.20606943154484908,0.23842277399083495,0.012110037009027134
UIUC NACA0021,7,False,100000.0,10.54130484966215,12.0,0.19822888507266564,0.23188599146799532,0.021997845122127102
UIUC NACA0021,7,False,250000.0,12.843995366867238,12.0,0.19822888507266564,0.23188599146799532,0.01805403885975975
UIUC NACA0021,7,False,500000.0,14.774282517627968,12.0,0.19822888507266564,0.23188599146799532,0.015695245518103505
UIUC NACA0021,7,False,1000000.0,16.872599111411628,12.0,0.19822888507266564,0.23188599146799532,0.013743347420087837
UIUC NACA0021,7,False,2000000.0,19.144038249352285,12.0,0.19822888507266564,0.23188599146799532,0.012112699966833847
UIUC NACA4415,8,False,100000.0,10.193565023663142,12.0,0.16321585251861706,0.19406225130557336,0.019037721430636
UIUC NACA4415,8,False,250000.0,12.420293673603936,12.0,0.16321585251861706,0.19406225130557336,0.015624610528976587
UIUC NACA4415,8,False,500000.0,14.286903914579142,12.0,0.16321585251861706,0.19406225130557336,0.013583226461510781
UIUC NACA4415,8,False,1000000.0,16.316000591320314,12.0,0.16321585251861706,0.19406225130557336,0.011893984081418176
UIUC NACA4415,8,False,2000000.0,18.512508792165445,12.0,0.16321585251861706,0.19406225130557336,0.010482763491661442
UIUC NACA4418,8,False,100000.0,10.161367582040082,12.0,0.1810684476822627,0.20704228753539003,0.02037543528110637
UIUC NACA4418,8,False,250000.0,12.381062876569848,12.0,0.1810684476822627,0.20704228753539003,0.016722497058568427
UIUC NACA4418,8,False,500000.0,14.24177723380592,12.0,0.1810684476822627,0.20704228753539003,0.014537672099232858
UIUC NACA4418,8,False,1000000.0,16.264464796400546,12.0,0.1810684476822627,0.20704228753539003,0.012729732587401838
UIUC NACA4418,8,False,2000000.0,18.45403509628491,12.0,0.1810684476822627,0.20704228753539003,0.011219350481081015
UIUC NACA2418,9,False,100000.0,9.8714004518984,12.0,0.17419093646826192,0.20103795441289551,0.020365697389394557
UIUC NACA2418,9,False,250000.0,12.027754009290206,12.0,0.17419093646826192,0.20103795441289551,0.01671450499050898
UIUC NACA2418,9,False,500000.0,13.835370592252783,12.0,0.17419093646826192,0.20103795441289551,0.014530724209546523
UIUC NACA2418,9,False,1000000.0,15.80033827580913,12.0,0.17419093646826192,0.20103795441289551,0.01272364875381761
UIUC NACA2418,9,False,2000000.0,17.92742649235433,12.0,0.17419093646826192,0.20103795441289551,0.011213988494033652
UIUC NACA0018,10,False,100000.0,9.541272009398831,12.0,0.16687681863341228,0.1943425186232631,0.02036861735330697
UIUC NACA0018,10,False,250000.0,11.625510810140959,12.0,0.16687681863341228,0.1943425186232631,0.016716901458965372
UIUC NACA0018,10,False,500000.0,13.372675418727898,12.0,0.16687681863341228,0.1943425186232631,0.01453280757499686
UIUC NACA0018,10,False,1000000.0,15.271928847848374,12.0,0.16687681863341228,0.1943425186232631,0.012725473026980712
UIUC NACA0018,10,False,2000000.0,17.327881026157762,12.0,0.16687681863341228,0.1943425186232631,0.011215596317281277
UIUC NACA2415,11,False,100000.0,8.558531454571778,12.0,0.14174958810639215,0.1629566572817262,0.01904025920179079
UIUC NACA2415,11,False,250000.0,10.428095944235078,12.0,0.14174958810639215,0.1629566572817262,0.015626693324759144
UIUC NACA2415,11,False,500000.0,11.995304513928508,12.0,0.14174958810639215,0.1629566572817262,0.013585037136198326
UIUC NACA2415,11,False,1000000.0,13.698936922408084,12.0,0.14174958810639215,0.1629566572817262,0.011895569576290937
UIUC NACA2415,11,False,2000000.0,15.543128280732532,12.0,0.14174958810639215,0.1629566572817262,0.010484160867650397
UIUC NACA0015,12,False,100000.0,8.19083216553809,12.0,0.1348753691047117,0.1559687453189725,0.019041868050378524
UIUC NACA0015,12,False,250000.0,9.980074752162217,12.0,0.1348753691047117,0.1559687453189725,0.01562801373658863
UIUC NACA0015,12,False,500000.0,11.479951504486916,12.0,0.1348753691047117,0.1559687453189725,0.01358618503379674
UIUC NACA0015,12,False,1000000.0,13.110390932523794,12.0,0.1348753691047117,0.1559687453189725,0.011896574718611233
UIUC NACA0015,12,False,2000000.0,14.875350490988962,12.0,0.1348753691047117,0.1559687453189725,0.010485046749886913
UIUC NACA4412,13,False,100000.0,7.405203230664874,12.0,0.11644630948426142,0.1327885876989157,0.01793179519355248
UIUC NACA4412,13,False,250000.0,9.022829463889217,12.0,0.11644630948426142,0.1327885876989157,0.014716956386060106
UIUC NACA4412,13,False,500000.0,10.378844572908893,12.0,0.11644630948426142,0.1327885876989157,0.012794158999694785
UIUC NACA4412,13,False,1000000.0,11.852899354631903,12.0,0.11644630948426142,0.1327885876989157,0.01120304692767211
UIUC NACA4412,13,False,2000000.0,13.448571681960138,12.0,0.11644630948426142,0.1327885876989157,0.00987380599510339
UIUC NACA2412,14,False,100000.0,6.9808080300502855,12.0,0.1095973630608641,0.12513014870320124,0.01792488035261154
