airfoil,max_thickness_pct,max_camber_pct,best_ld_re_100000,cl_objective_re_100000,best_ld_re_250000,cl_objective_re_250000,best_ld_re_500000,cl_objective_re_500000,best_ld_re_1e+06,cl_objective_re_1e+06,best_ld_re_2e+06,cl_objective_re_2e+06,mean_best_ld,worst_case_best_ld,best_case_best_ld,best_ld_std,mean_cl_objective,worst_case_cl_objective,mean_cd_min,mean_best_ld_alpha_deg,cl_objective_name,pareto_rank,pareto_front
UIUC NACA2415,15.0,2.0,8.558531454571778,0.14174958810639215,10.428095944235078,0.14174958810639215,11.995304513928508,0.14174958810639215,13.698936922408084,0.14174958810639215,15.543128280732532,0.14174958810639215,12.044799423175196,8.558531454571778,15.543128280732532,2.4390457107547396,0.14174958810639215,0.14174958810639215,0.01412634402133792,12.0,Cl at α = 4.00°,11,False
UIUC NACA0015,15.004000000000001,0.0,8.19083216553809,0.1348753691047117,9.980074752162217,0.1348753691047117,11.479951504486916,0.1348753691047117,13.110390932523794,0.1348753691047117,14.875350490988962,0.1348753691047117,11.527319969139997,8.19083216553809,14.875350490988962,2.3342572457563304,0.1348753691047117,0.1348753691047117,0.01412753765785241,12.0,Cl at α = 4.00°,12,False
UIUC NACA4412,12.02,4.0,7.405203230664874,0.11644630948426142,9.022829463889217,0.11644630948426142,10.378844572908893,0.11644630948426142,11.852899354631903,0.11644630948426142,13.448571681960138,0.11644630948426142,10.421669660811006,7.405203230664874,13.448571681960138,2.1103654608142124,0.11644630948426142,0.11644630948426142,0.013303952700416575,12.0,Cl at α = 4.00°,13,False
UIUC NACA2412,12.0,2.0,6.9808080300502855,0.1095973630608641,8.505727447757963,0.1095973630608641,9.784028780895602,0.1095973630608641,11.173604885218417,0.1095973630608641,12.677828584281142,0.1095973630608641,9.824399545640683,6.9808080300502855,12.677828584281142,1.9894195603150127,0.1095973630608641,0.1095973630608641,0.01329882244347263,12.0,Cl at α = 4.00°,14,False
UIUC NACA1412,12.003236998198444,0.9999999999999996,6.5573441581882035,0.10328185542775212,7.989760204062647,0.10328185542775212,9.190518303006375,0.10328185542775212,10.495801117089647,0.10328185542775212,11.908776870497688,0.10328185542775212,9.228440130568913,6.5573441581882035,11.908776870497688,1.8687390737377179,0.10328185542775212,0.10328185542775212,0.013299652476025079,12.0,Cl at α = 4.00°,15,False
UIUC NACA0010,10.004,0.0,5.443078880812284,0.08351176118419215,6.632089757738724,0.08351176118419215,7.628807467173509,0.08351176118419215,8.712288392900446,0.08351176118419215,9.88516239446881,0.08351176118419215,7.660285378618755,5.443078880812284,9.88516239446881,1.5511911439494923,0.08351176118419215,0.08351176118419215,0.012806642256166331,12.0,Cl at α = 4.00°,16,False
UIUC NACA1410,10.003691155439045,0.9742197116644431,5.3617544811382,0.08242591574051741,6.533000486768566,0.08242591574051741,7.514826354446279,0.08242591574051741,8.582119119433221,0.08242591574051741,9.737469348857271,0.08242591574051741,7.545833958128708,5.3617544811382,9.737469348857271,1.528014979994539,0.08242591574051741,0.08242591574051741,0.012806568788308211,12.0,Cl at α = 4.00°,17,False
UIUC NACA2410,10.00384171780128,2.0,5.275718599595009,0.0812523016394485,6.42817053642703,0.0812523016394485,7.394241812143339,0.0812523016394485,8.444408564698465,0.0812523016394485,9.581219792415274,0.0812523016394485,7.424751861055823,5.275718599595009,9.581219792415274,1.50349611843952,0.0812523016394485,0.0812523016394485,0.01280637099023452,12.0,Cl at α = 4.00°,18,False
UIUC NACA2411,11.004521727487226,2.499724241031602,5.235528425968843,0.07623120346482395,6.3792010387025995,0.07623120346482395,7.337912829341508,0.07623120346482395,8.380079461472308,0.07623120346482395,9.508230515269751,0.07623120346482395,7.368190454151002,5.235528425968843,9.508230515269751,1.4920425564449533,0.07623120346482395,0.07623120346482395,0.013049013820757729,12.0,Cl at α = 4.00°,19,False
UIUC NACA0008,8.001999999999999,0.0,4.232082742525345,0.06433215758350509,5.156558121828386,0.06433215758350509,5.931522422297766,0.06433215758350509,6.773946540711436,0.06433215758350509,7.685875235827716,0.06433215758350509,5.9559970126381305,4.232082742525345,7.685875235827716,1.2060764531281456,0.06433215758350509,0.06433215758350509,0.012343794607914124,12.0,Cl at α = 4.00°,20,False
UIUC NACA1408,8.00203357409096,0.9999999999999999,4.122295729983937,0.06259869980076439,5.022788735539436,0.06259869980076439,5.777649219389198,0.06259869980076439,6.598219505333072,0.06259869980076439,7.486491307808386,0.06259869980076439,5.801488899610805,4.122295729983937,7.486491307808386,1.174788895974557,0.06259869980076439,0.06259869980076439,0.01234380217632024,12.0,Cl at α = 4.00°,21,False
UIUC NACA2408,8.002983955001293,2.0,3.968295252882588,0.06028658591214868,4.835147694644156,0.06028658591214868,5.561808145727644,0.06028658591214868,6.3517236160523005,0.06028658591214868,7.2068114137067365,0.06028658591214868,5.5847572246026855,3.968295252882588,7.2068114137067365,1.1309012027269518,0.06028658591214868,0.06028658591214868,0.012343849317142132,12.0,Cl at α = 4.00°,22,False
UIUC NACA0006,6.002,0.0,3.003806065835527,0.046588023105610575,3.6599711082063746,0.046588023105610575,4.210017647506041,0.046588023105610575,4.807945152909008,0.046588023105610575,5.455204933176254,0.046588023105610575,4.227388981526641,3.003806065835527,5.455204933176254,0.8560370829625916,0.046588023105610575,0.046588023105610575,0.01190120804757194,12.0,Cl at α = 4.00°,23,False
